"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.549034786,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.740139645,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.674767252,
"CAN","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.374681048,
"CAN","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.131432874,
"CAN","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.075036988,
"CAN","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.364362857,
"CAN","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.821739528,
"CAN","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.160303228,
"CAN","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.256581424,
"CAN","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-1.07869505,
"CAN","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.447240509,
"CAN","QGDP","TOT","PC_CHGPP","Q","2009-Q4",1.161898977,
"CAN","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.211533092,
"CAN","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.523642872,
"CAN","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.700042554,
"CAN","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.121801791,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.761595519,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.181517907,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.368249361,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.79472209,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.0631303,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.325071067,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.136854471,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.205799023,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.89511833,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.575888641,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.82231197,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",1.046569427,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.168994293,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.911555413,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.958574349,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.691167613,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-0.55677898,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",-0.272994458,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.358097519,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.066272079,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.591683798,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.498133929,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.03778381,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.561022275,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.258206055,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.052553159,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.031402141,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.507360861,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.162519794,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.780038215,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.504422861,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.235568646,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.240663338,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.094764819,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.279623055,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.285513174,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.949937792,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.9999385,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.083513962,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.87838191,
"ARG","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.435973867,
"ARG","QGDP","TOT","PC_CHGPP","Q","2007-Q4",3.025059382,
"ARG","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.915145021,
"ARG","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.5319922,
"ARG","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.816540818,
"ARG","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-4.699651529,
"ARG","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-3.68596071,
"ARG","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-2.327618157,
"ARG","QGDP","TOT","PC_CHGPP","Q","2009-Q3",4.137050034,
"ARG","QGDP","TOT","PC_CHGPP","Q","2009-Q4",1.850576163,
"ARG","QGDP","TOT","PC_CHGPP","Q","2010-Q1",3.006575948,
"ARG","QGDP","TOT","PC_CHGPP","Q","2010-Q2",4.490697894,
"ARG","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.602358806,
"ARG","QGDP","TOT","PC_CHGPP","Q","2010-Q4",1.091722271,
"ARG","QGDP","TOT","PC_CHGPP","Q","2011-Q1",2.276464553,
"ARG","QGDP","TOT","PC_CHGPP","Q","2011-Q2",1.357628526,
"ARG","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.850064822,
"ARG","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.179491674,
"ARG","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-1.066886653,
"ARG","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-3.317083878,
"ARG","QGDP","TOT","PC_CHGPP","Q","2012-Q3",3.120596366,
"ARG","QGDP","TOT","PC_CHGPP","Q","2012-Q4",1.604564971,
"ARG","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.169099504,
